
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
18:E7:28:78:00:84, 2020-02-14 21:00:39, 2020-02-14 21:00:49, 11, 195, WPA2, CCMP, MGT, -81,        2,        0,   0.  0.  0.  0,   1, , 
18:E7:28:78:00:80, 2020-02-14 21:00:39, 2020-02-14 21:00:54, 11, 195, OPN, ,   , -81,        6,        0,   0.  0.  0.  0,  11, TCCD-PUBLIC, 
18:E7:28:78:00:81, 2020-02-14 21:00:44, 2020-02-14 21:00:54, 11, 195, WPA2, CCMP, MGT, -80,        4,        0,   0.  0.  0.  0,   5, ACC12, 
18:E7:28:78:00:83, 2020-02-14 21:00:44, 2020-02-14 21:00:54, 11, 195, OPN, ,   , -81,        4,        0,   0.  0.  0.  0,  10, TCCD-GUEST, 
18:E7:28:78:00:82, 2020-02-14 21:00:49, 2020-02-14 21:00:54, 11, 195, WPA2, CCMP, MGT, -81,        4,        0,   0.  0.  0.  0,   4, TCCD, 
58:F3:9C:40:CD:93, 2020-02-14 21:00:39, 2020-02-14 21:00:49,  6, 195, OPN, ,   , -80,        3,        0,   0.  0.  0.  0,  10, TCCD-GUEST, 
58:F3:9C:40:CD:92, 2020-02-14 21:00:39, 2020-02-14 21:00:54,  6, 195, WPA2, CCMP, MGT, -79,        4,        0,   0.  0.  0.  0,   4, TCCD, 
58:F3:9C:40:CD:94, 2020-02-14 21:00:39, 2020-02-14 21:00:49,  6, 195, WPA2, CCMP, MGT, -79,        3,        0,   0.  0.  0.  0,   1, , 
58:F3:9C:40:CD:91, 2020-02-14 21:00:39, 2020-02-14 21:00:49,  6, 195, WPA2, CCMP, MGT, -79,        4,        0,   0.  0.  0.  0,   5, ACC12, 
1C:6A:7A:B2:68:04, 2020-02-14 21:00:44, 2020-02-14 21:00:49, 11, 195, WPA2, CCMP, MGT, -79,        2,        0,   0.  0.  0.  0,   4, TCCD, 
58:F3:9C:40:CD:90, 2020-02-14 21:00:44, 2020-02-14 21:00:49,  6, 195, OPN, ,   , -79,        3,        0,   0.  0.  0.  0,  11, TCCD-PUBLIC, 
1C:6A:7A:B2:68:00, 2020-02-14 21:00:39, 2020-02-14 21:00:54, 11, 195, OPN, ,   , -78,        6,        2,   0.  0.  0.  0,  11, TCCD-PUBLIC, 
1C:6A:7A:B2:68:03, 2020-02-14 21:00:39, 2020-02-14 21:00:53, 11, 195, WPA2, CCMP, PSK, -78,        5,        0,   0.  0.  0.  0,   9, FWISD-TCC, 
58:F3:9C:18:04:D1, 2020-02-14 21:00:39, 2020-02-14 21:00:54, 11, 195, WPA2, CCMP, MGT, -77,        7,        0,   0.  0.  0.  0,   5, ACC12, 
1C:6A:7A:B2:68:02, 2020-02-14 21:00:39, 2020-02-14 21:00:54, 11, 195, WPA2, CCMP, MGT, -78,        8,        0,   0.  0.  0.  0,   1, , 
1C:6A:7A:B2:68:01, 2020-02-14 21:00:39, 2020-02-14 21:00:53, 11, 195, WPA2, CCMP, MGT, -78,        7,        0,   0.  0.  0.  0,   5, ACC12, 
58:F3:9C:18:04:D4, 2020-02-14 21:00:39, 2020-02-14 21:00:54, 11, 195, WPA2, CCMP, MGT, -77,        4,        0,   0.  0.  0.  0,   1, , 
58:F3:9C:18:04:D3, 2020-02-14 21:00:39, 2020-02-14 21:00:54, 11, 195, OPN, ,   , -77,        6,        0,   0.  0.  0.  0,  10, TCCD-GUEST, 
58:F3:9C:18:04:D0, 2020-02-14 21:00:39, 2020-02-14 21:00:54, 11, 195, OPN, ,   , -77,        6,        0,   0.  0.  0.  0,  11, TCCD-PUBLIC, 
58:F3:9C:2D:4B:21, 2020-02-14 21:00:39, 2020-02-14 21:00:54,  6, 195, WPA2, CCMP, MGT, -77,        6,        0,   0.  0.  0.  0,   5, ACC12, 
58:F3:9C:2D:4B:20, 2020-02-14 21:00:39, 2020-02-14 21:00:54,  6, 195, OPN, ,   , -77,        7,        0,   0.  0.  0.  0,  11, TCCD-PUBLIC, 
58:F3:9C:2D:4B:22, 2020-02-14 21:00:39, 2020-02-14 21:00:54,  6, 195, WPA2, CCMP, MGT, -77,        5,        0,   0.  0.  0.  0,   1, , 
58:F3:9C:18:04:D2, 2020-02-14 21:00:39, 2020-02-14 21:00:54, 11, 195, WPA2, CCMP, MGT, -77,        8,        0,   0.  0.  0.  0,   4, TCCD, 
58:F3:9C:2D:4B:24, 2020-02-14 21:00:39, 2020-02-14 21:00:49,  6, 195, WPA2, CCMP, MGT, -76,        3,        0,   0.  0.  0.  0,   4, TCCD, 
58:F3:9C:2D:4B:23, 2020-02-14 21:00:44, 2020-02-14 21:00:54,  6, 195, WPA2, CCMP, PSK, -76,        6,        0,   0.  0.  0.  0,   9, FWISD-TCC, 
AC:83:F3:A1:6D:F6, 2020-02-14 21:00:35, 2020-02-14 21:00:52,  8, 130, OPN, ,   , -74,       15,        0,   0.  0.  0.  0,   9, NVC_CE4AD, 
B0:F1:EC:48:0A:E2, 2020-02-14 21:00:37, 2020-02-14 21:00:51,  8, 130, OPN, ,   , -70,       12,        0,   0.  0.  0.  0,   9, NVC_ACA44, 
1C:6A:7A:B0:33:C1, 2020-02-14 21:00:35, 2020-02-14 21:00:45,  1, 195, WPA2, CCMP, MGT, -62,        6,        0,   0.  0.  0.  0,   5, ACC12, 
