
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
F8:04:2E:2F:AD:6F, 2020-02-16 20:14:23, 2020-02-16 20:14:23, -84,        2, (not associated) ,
1C:12:B0:99:D7:BB, 2020-02-16 20:14:29, 2020-02-16 20:14:30, -70,       10, 34:6B:46:68:0E:FA,
1C:12:B0:51:B2:B5, 2020-02-16 20:14:29, 2020-02-16 20:14:30, -70,        3, 34:6B:46:68:0E:FA,
A4:31:35:10:93:60, 2020-02-16 20:14:24, 2020-02-16 20:14:24, -60,        2, C4:04:15:44:96:DC,
9C:20:7B:E8:4B:0F, 2020-02-16 20:14:24, 2020-02-16 20:14:24, -60,        1, C4:04:15:44:96:DC,
BE:51:FA:1E:4E:C5, 2020-02-16 20:14:19, 2020-02-16 20:14:29, -55,       15, 00:25:00:FF:94:73,
76:77:5F:FF:6B:E5, 2020-02-16 20:14:19, 2020-02-16 20:14:29, -42,       17, 00:25:00:FF:94:73,
00:5B:94:17:B2:96, 2020-02-16 20:14:24, 2020-02-16 20:14:28, -25,       19, C4:04:15:44:96:DC,

, CCMP, PSK, -50,       11,       18,   0.  0.  0.  0,  18, MyCharterWiFidc-2G, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
F8:04:2E:2F:AD:6F, 2020-02-16 20:14:23, 2020-02-16 20:14:23, -84,        2, (not associated) ,
BE:51:FA:1E:4E:C5, 2020-02-16 20:14:19, 2020-02-16 20:14:28, -65,       12, 00:25:00:FF:94:73,
A4:31:35:10:93:60, 2020-02-16 20:14:24, 2020-02-16 20:14:24, -60,        2, C4:04:15:44:96:DC,
9C:20:7B:E8:4B:0F, 2020-02-16 20:14:24, 2020-02-16 20:14:24, -60,        1, C4:04:15:44:96:DC,
76:77:5F:FF:6B:E5, 2020-02-16 20:14:19, 2020-02-16 20:14:28, -38,       13, 00:25:00:FF:94:73,
00:5B:94:17:B2:96, 2020-02-16 20:14:24, 2020-02-16 20:14:28, -25,       19, C4:04:15:44:96:DC,

