
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
DA:A1:19:80:21:EE, 2020-02-25 15:14:21, 2020-02-25 15:14:21, -84,        3, (not associated) ,
70:A2:B3:C2:71:BB, 2020-02-25 15:14:12, 2020-02-25 15:14:12, -71,        2, (not associated) ,TXWES-Register
40:23:43:4C:F8:7D, 2020-02-25 15:14:12, 2020-02-25 15:15:30, -86,        2, B0:B8:67:5E:AC:E1,
16:69:12:FF:1D:68, 2020-02-25 15:14:09, 2020-02-25 15:14:09, -86,        2, (not associated) ,
96:8C:95:78:09:F7, 2020-02-25 15:14:00, 2020-02-25 15:14:00, -42,        1, (not associated) ,
BE:FF:7F:83:73:05, 2020-02-25 15:13:48, 2020-02-25 15:13:57, -42,        7, 00:25:00:FF:94:73,
70:A2:B3:C3:A6:17, 2020-02-25 15:14:00, 2020-02-25 15:14:00, -76,        6, (not associated) ,TXWES-Register
88:9E:33:41:87:86, 2020-02-25 15:14:00, 2020-02-25 15:14:00, -86,       10, (not associated) ,TMobileWingman
52:81:7A:81:20:C7, 2020-02-25 15:13:59, 2020-02-25 15:13:59, -88,        1, (not associated) ,
00:25:B3:EF:E2:8D, 2020-02-25 15:13:51, 2020-02-25 15:13:56, -92,        3, 02:20:B0:EF:69:4D,
76:FB:5A:3A:FB:C2, 2020-02-25 15:13:44, 2020-02-25 15:13:44, -50,        4, (not associated) ,Maddox-5G,Maddox-2G,belkin.df1
40:74:E0:DF:AE:D5, 2020-02-25 15:13:47, 2020-02-25 15:13:47, -85,        1, (not associated) ,
E4:70:B8:10:FC:11, 2020-02-25 15:13:46, 2020-02-25 15:13:46, -85,        3, (not associated) ,TXWES-Secure
76:24:10:F6:72:AB, 2020-02-25 15:13:43, 2020-02-25 15:13:43, -85,        1, (not associated) ,
7C:7A:91:91:52:F8, 2020-02-25 15:13:47, 2020-02-25 15:13:47, -86,        2, 00:4E:35:12:04:01,
42:E6:3B:1A:94:F9, 2020-02-25 15:13:50, 2020-02-25 15:13:50, -47,        1, (not associated) ,
54:13:79:C6:83:2D, 2020-02-25 15:14:05, 2020-02-25 15:14:05, -87,        1, (not associated) ,CTCUMC_AD
DA:A1:19:28:BD:A6, 2020-02-25 15:14:01, 2020-02-25 15:14:01, -84,        1, (not associated) ,
00:21:2F:36:67:0D, 2020-02-25 15:14:02, 2020-02-25 15:14:02, -71,        3, B0:B8:67:5E:38:81,
DA:A1:19:76:7C:9B, 2020-02-25 15:14:16, 2020-02-25 15:14:16, -85,        1, (not associated) ,TXWES-Secure
04:15:52:A9:31:63, 2020-02-25 15:14:25, 2020-02-25 15:14:25, -92,        2, (not associated) ,ATT5TTJ9Cz
14:95:CE:5C:EF:30, 2020-02-25 15:14:25, 2020-02-25 15:14:25, -90,        2, 18:64:72:1D:3E:51,
3C:F0:11:6C:00:FC, 2020-02-25 15:14:32, 2020-02-25 15:14:32, -89,        1, (not associated) ,
DA:A1:19:6C:56:36, 2020-02-25 15:15:23, 2020-02-25 15:15:24, -89,        5, (not associated) ,
F2:01:C1:1C:BA:75, 2020-02-25 15:14:38, 2020-02-25 15:14:38, -87,        4, (not associated) ,
FC:77:74:41:78:9B, 2020-02-25 15:13:45, 2020-02-25 15:14:45, -87,        2, (not associated) ,
4A:0B:ED:13:18:2D, 2020-02-25 15:14:55, 2020-02-25 15:14:55, -86,        1, 00:25:00:FF:94:73,
CE:9E:65:DD:6E:11, 2020-02-25 15:14:59, 2020-02-25 15:14:59, -86,        3, (not associated) ,
F6:2D:5E:3E:4B:34, 2020-02-25 15:15:14, 2020-02-25 15:15:14, -86,        2, 00:25:00:FF:94:73,
84:AD:8D:90:1C:6A, 2020-02-25 15:14:54, 2020-02-25 15:14:54, -85,        3, (not associated) ,TXWES-Secure
7C:7A:91:7D:9B:05, 2020-02-25 15:14:05, 2020-02-25 15:15:13, -84,        4, (not associated) ,TXWES-Secure
5A:8B:8C:75:5C:ED, 2020-02-25 15:15:02, 2020-02-25 15:15:02, -84,        1, (not associated) ,
DA:A1:19:1B:A4:45, 2020-02-25 15:14:33, 2020-02-25 15:14:33, -82,        1, (not associated) ,
70:A2:B3:C1:B6:F1, 2020-02-25 15:14:46, 2020-02-25 15:14:46, -81,        1, (not associated) ,TXWES-Register
70:A2:B3:C2:FE:92, 2020-02-25 15:14:35, 2020-02-25 15:14:35, -79,        2, (not associated) ,TXWES-Register
A8:81:95:CA:83:A8, 2020-02-25 15:14:16, 2020-02-25 15:14:39, -76,       11, (not associated) ,TXWES-Secure,zmd_sap,zmd_smp,zmd-sap,Zmd_SAP,Zmd_sap,A4SQHD0S1ZHP
70:A2:B3:C2:70:F3, 2020-02-25 15:13:52, 2020-02-25 15:15:28, -81,       51, 00:4E:35:12:31:80,TXWES-Register
A0:D3:7A:EF:DB:7F, 2020-02-25 15:13:47, 2020-02-25 15:15:00, -75,        4, 00:4E:35:12:04:01,
AA:02:30:8C:F8:F2, 2020-02-25 15:14:58, 2020-02-25 15:14:59, -75,        3, (not associated) ,
